t_s,bob1_energy_proxy_fraction,bob2_energy_proxy_fraction,bob3_energy_proxy_fraction,bob4_energy_proxy_fraction,bob5_energy_proxy_fraction
3.30462000,0.04051797852,0.1391451255,0.1682248961,0.1222083417,0.5299036582
3.32131000,0.04341217025,0.1662915137,0.2442575808,0.09225095721,0.453787778
3.33800000,0.04339926181,0.1984437867,0.3093431524,0.1033271896,0.3454866094
3.35469000,0.04259606498,0.2226582725,0.3335118011,0.174688099,0.2265457625
3.37138000,0.04182817717,0.2270626622,0.314806321,0.286776001,0.1295268387
3.38807000,0.04753070607,0.2100346826,0.2884507889,0.3703627973,0.08362102518
3.40476000,0.06640199065,0.178499571,0.2892423149,0.3877446075,0.07811151597
3.42145000,0.09757785586,0.1660446614,0.3176985867,0.3344395141,0.08423938192
3.43814000,0.1420039967,0.1789538263,0.343665549,0.2461148858,0.08926174225
3.45483000,0.195638272,0.2170475269,0.3358248015,0.165535102,0.08595429771
3.47152000,0.2365992511,0.2813222842,0.2664247773,0.1435016167,0.07215207072
3.48821000,0.2554136289,0.3396537153,0.1781582354,0.170022833,0.05675158743
3.50490000,0.2530505811,0.3582613079,0.1374627036,0.2107096495,0.04051575795
3.52159000,0.2481337747,0.3331283478,0.1483832071,0.2392392655,0.03111540497
3.53828000,0.2490251588,0.2894488321,0.1886096688,0.245000995,0.02791534528
3.55497000,0.262371733,0.2334060662,0.2488522123,0.2285521917,0.02681779678
3.57166000,0.2626467221,0.2042379456,0.30864315,0.1960500979,0.02842208449
3.58835000,0.2569373479,0.2425305875,0.333695289,0.1335301499,0.03330662574
3.60504000,0.2413151433,0.3564928322,0.2975613089,0.06841629448,0.03621442109
3.62173000,0.2352143809,0.4831062234,0.2179576645,0.02986571507,0.03385601607
3.63842000,0.2503941859,0.5634581568,0.1387294717,0.01345463764,0.03396354798
3.65511000,0.2921604099,0.5852915152,0.08174548867,0.009563384489,0.03123920176
3.67180000,0.3526576373,0.5634138514,0.05081610644,0.01034395624,0.0227684486
3.68849000,0.4323503876,0.505502592,0.0355227379,0.01062168238,0.01600260014
3.70518000,0.5298157024,0.4178029111,0.03195161337,0.01111693748,0.009312835601
3.72187000,0.6444595389,0.2947700386,0.04318168995,0.01452350628,0.003065226199
3.73856000,0.7199789366,0.1818765358,0.07273419439,0.02471319719,0.0006971360666
3.75525000,0.7172198683,0.128048234,0.1118021073,0.04288366968,4.612078849e-05
3.77194000,0.6494507325,0.1302595405,0.1534164108,0.06660575345,0.0002675626635
3.78863000,0.515350533,0.2050704938,0.1880212802,0.09078629001,0.0007714029434
3.80532000,0.3451558397,0.3499901145,0.2035054218,0.1007050818,0.0006435422441
3.82201000,0.2001745449,0.4875583611,0.2181860268,0.09385221282,0.0002288544273
3.83870000,0.1498066391,0.514204413,0.2528934749,0.0827347767,0.0003606963301
3.85539000,0.1727511703,0.4135451638,0.3258895874,0.08275428874,0.005059789656
3.87208000,0.2167513783,0.2680052591,0.4049462394,0.09133589584,0.01896122733
3.88877000,0.2421077599,0.1896824104,0.3992540692,0.1185798612,0.0503758993
3.90546000,0.2355519365,0.2140942658,0.2971205503,0.1630597561,0.09017349128
3.92215000,0.1942402641,0.3022587701,0.1867246703,0.2040986435,0.112677652
3.93884000,0.1429010112,0.3658780674,0.1637247524,0.2085791431,0.1189170259
3.95553000,0.1020079922,0.390086223,0.2078788281,0.1858958509,0.1141311057
3.97222000,0.07807441418,0.3788338022,0.2832790431,0.1457908584,0.1140218821
3.98891000,0.06306880551,0.3568464533,0.3388030446,0.1181826096,0.123099087
4.00560000,0.05424741267,0.3360932987,0.3508729122,0.1286322052,0.1301541712
4.02229000,0.04864217464,0.2940238324,0.3437758948,0.1849561362,0.1286019619
4.03898000,0.04876258291,0.2358302459,0.3087426206,0.2753333019,0.1313312488
4.05567000,0.0526002477,0.1699483233,0.2665384188,0.3732814919,0.1376315182
4.07236000,0.05635227366,0.1127644091,0.2278108373,0.4489681268,0.154104353
4.08905000,0.05854714274,0.08109522162,0.1898148495,0.4870173267,0.1835254594
4.10574000,0.05775127686,0.06379334218,0.1575111989,0.4776096916,0.2433344905
4.12243000,0.05227210441,0.05773211416,0.1346775465,0.4186754861,0.3366427488
4.13912000,0.04656984435,0.05679882679,0.1205611727,0.3409873436,0.4350828126
4.15581000,0.04261758294,0.05599292302,0.10969324,0.2497656154,0.5419306386
4.17250000,0.03878911935,0.0528506268,0.09948643858,0.1686865559,0.6401872594
4.18919000,0.036751444,0.05147312906,0.09156601502,0.1226518174,0.6975575945
4.20588000,0.0380288494,0.05388725833,0.08885291251,0.1107975685,0.7084334112
4.22257000,0.04419158335,0.06002845242,0.09378496245,0.1249736581,0.6770213437
4.23926000,0.05607895135,0.07537895178,0.11473182,0.1937001113,0.5601101655
4.25595000,0.06107106607,0.09298600728,0.1368889835,0.3367705133,0.3722834298
4.27264000,0.05455452527,0.104476483,0.1567698357,0.4392314287,0.2449677274
4.28933000,0.03964083429,0.1101367798,0.187664753,0.3998183539,0.262739279
4.30602000,0.02576990185,0.1014153393,0.2323992182,0.2661709506,0.37424459
4.32271000,0.01466874223,0.07583002031,0.2519400849,0.1850829651,0.4724781875
4.33940000,0.00616683038,0.03839528379,0.2067056943,0.2357893777,0.5129428138
4.35609000,0.00113179621,0.03504452777,0.1645458304,0.3594455206,0.439832325
4.37278000,4.504129588e-05,0.0569846039,0.1869496876,0.4369161674,0.3191044999
4.38947000,0.002251524994,0.06397662864,0.2561906841,0.4411696363,0.2364115259
4.40616000,0.008326271767,0.05009301478,0.3114579443,0.4363728267,0.1937499425
4.42285000,0.01841241639,0.04462201172,0.3303317571,0.4359233357,0.170710479
4.43954000,0.02981652762,0.07179966365,0.3247897999,0.4277367399,0.145857269
4.45623000,0.03587969704,0.1247854966,0.3113048797,0.4022215362,0.1258083905
4.47292000,0.03392505184,0.188075771,0.2955863084,0.3629365582,0.1194763105
4.48961000,0.02853567196,0.2444972764,0.2868974286,0.3183200427,0.1217495803
4.50630000,0.02427456753,0.2908192807,0.2849103289,0.2717320914,0.1282637315
4.52299000,0.02612915067,0.3228475269,0.2896079033,0.223303998,0.1381114211
4.53968000,0.04326266322,0.3270049265,0.2955673577,0.1880663513,0.1460987013
4.55637000,0.08492308525,0.3004904121,0.2768100954,0.1839764966,0.1537999107
4.57306000,0.1486277052,0.2577486177,0.2369473595,0.1970816196,0.159594698
4.58975000,0.2206450076,0.2131227768,0.1984555807,0.2093839355,0.1583926994
4.60644000,0.2819539028,0.1752203289,0.1825418036,0.2097145731,0.1505693916
4.62313000,0.3176639392,0.1525518248,0.1917663908,0.1941993415,0.1438185037
4.63982000,0.3286527707,0.1404820314,0.2236322399,0.1654947361,0.1417382219
4.65651000,0.3132355495,0.1307920822,0.2580091924,0.1505016795,0.1474614963
4.67320000,0.2860970345,0.1215452422,0.2663215864,0.1634836025,0.1625525344
4.68989000,0.2439821917,0.1218110539,0.2450575796,0.212875603,0.1762735718
4.70658000,0.1963098296,0.1464337945,0.1768372043,0.2913897979,0.1890293738
4.72327000,0.2172940037,0.1690517997,0.08816667302,0.3374545817,0.1880329419
4.73996000,0.3017181269,0.1689866658,0.03813005268,0.3189833543,0.1721818004
4.75665000,0.3732900609,0.1724063521,0.03441503888,0.2514660477,0.1684225004
4.77334000,0.4284558855,0.2192068595,0.03900453968,0.1460249705,0.1673077448
4.79003000,0.4406803532,0.31768482,0.04760002979,0.04748206711,0.1465527299
4.80672000,0.372239376,0.4077247236,0.09681887669,0.01401361693,0.1092034068
