t_s,bob1_proxy,bob2_proxy,bob3_proxy,bob4_proxy,bob5_proxy
151.71210000,-0.1614385435,-0.3504153017,-0.1607476652,0.00604157545,0.1450824415
151.72879000,-0.1631850736,-0.3660909552,-0.2137539645,-0.04130384548,0.1146105704
151.74548000,-0.1649316037,-0.3495770565,-0.2604676986,-0.0887202962,0.07292544373
151.76217000,-0.1623354349,-0.3056988405,-0.2922235515,-0.137126242,0.02335140912
151.77886000,-0.1572248558,-0.2477146455,-0.3030487207,-0.1868457381,-0.03581119091
151.79555000,-0.1521142766,-0.1944775967,-0.2930272483,-0.2345056943,-0.09884192317
151.81224000,-0.140916208,-0.1541501252,-0.261840077,-0.2784580983,-0.1689441744
151.82893000,-0.1261661412,-0.1312701523,-0.2154237417,-0.3119701262,-0.2356607761
151.84562000,-0.1114160745,-0.124453952,-0.1635111432,-0.3284559123,-0.2923598003
151.86231000,-0.09149645033,-0.121525338,-0.1184210054,-0.3256385453,-0.3368226457
151.87900000,-0.0686144408,-0.1165251456,-0.09201528391,-0.3053621419,-0.3676160189
151.89569000,-0.04573243128,-0.1096135149,-0.09024619418,-0.2714542628,-0.3814372732
151.91238000,-0.02263722865,-0.09938232469,-0.1053322709,-0.2349820639,-0.3819689066
151.92907000,0.000577945001,-0.08548462159,-0.1305165331,-0.2020874924,-0.357544031
151.94576000,0.02379311865,-0.06820863735,-0.1531276434,-0.1798362415,-0.3082321635
151.96245000,0.0378095185,-0.04616144338,-0.1627686926,-0.1701769998,-0.2434021793
151.97914000,0.04660896116,-0.02942265658,-0.1542281415,-0.1691580177,-0.1640291405
151.99583000,0.05540840382,-0.01806578735,-0.1292762401,-0.1671119035,-0.07547367771
152.01252000,0.05337175324,-0.009942272023,-0.08809622009,-0.1532864134,0.01072751966
152.02921000,0.04514159171,-0.005355538853,-0.04034748875,-0.1157658678,0.09212618886
152.04590000,0.03691143018,0.001109103325,0.005478419199,-0.05146992187,0.1645550956
152.06259000,0.02497761828,0.01000011604,0.05093022155,0.03239744684,0.218465428
152.07928000,0.01096505031,0.01942706358,0.09477721859,0.1294977158,0.2528371132
152.09597000,-0.003047517653,0.03153931487,0.1401809147,0.2294097039,0.2684959784
152.11266000,-0.01138937183,0.04947446558,0.1929033028,0.3200989324,0.2705266395
152.12935000,-0.01652349577,0.06681904885,0.2525013704,0.3915391811,0.2694172221
152.14604000,-0.0216576197,0.08752369772,0.3153096559,0.4382607587,0.2702234103
