frequency_Hz,amp_theta1_rad,amp_theta2_rad,amp_theta3_rad,amp_theta4_rad,amp_theta5_rad
1.70000000,6.594402491e-05,6.939089159e-05,7.785294775e-05,7.618867085e-05,8.132432133e-05
1.75000000,4.560186155e-05,4.822475895e-05,5.033748115e-05,5.261419092e-05,4.60358739e-05
1.80000000,4.568845426e-05,4.436814091e-05,3.01181019e-05,2.535232295e-05,3.337073823e-05
1.85000000,0.0003589028265,0.000125958625,2.314782844e-05,0.0001607739991,0.0003952225492
1.90000000,0.000541445949,0.0001973856926,1.910970143e-05,0.0001801972644,0.0005215260543
1.95000000,0.0002582887642,9.132185381e-05,8.18131133e-06,0.0001028842309,0.0002745594107
2.00000000,0.0003309140221,0.0003355123431,2.024733765e-05,0.0003552483654,0.0003417092832
2.05000000,0.0006893778928,0.0002841539281,4.55531544e-06,0.0002825373162,0.0007075553298
2.10000000,0.01900263988,0.009933089728,7.495995745e-06,0.009933420293,0.01899173737
2.15000000,0.03836105834,0.02015860653,5.174329279e-06,0.02016332857,0.03835716792
2.20000000,0.02028378083,0.01035515795,6.13286968e-06,0.01035377676,0.02028523653
2.25000000,0.002470775069,0.0008579971226,6.239961368e-06,0.000847828239,0.002467558532
2.30000000,0.0005937402304,0.0001880317403,6.079478127e-06,0.0001846038831,0.0005856641012
2.35000000,0.0001504775162,7.210428101e-05,5.987960295e-06,6.66641295e-05,0.0001508866393
2.40000000,0.0001147968467,3.844070523e-05,5.146095241e-06,3.135052446e-05,0.0001146297553
2.45000000,5.245824409e-05,7.47923548e-06,7.756423161e-07,7.690929273e-06,4.465510279e-05
2.50000000,0.0001175112596,4.019899619e-05,8.654400373e-07,3.962280831e-05,0.0001148487397
2.55000000,6.406154638e-05,1.274332102e-05,8.916454086e-06,1.672119428e-05,5.553042035e-05
2.60000000,1.319752446e-05,1.700707392e-05,5.275809456e-06,6.985409607e-06,1.901930014e-05
2.65000000,1.166302715e-05,6.39148205e-07,2.467028611e-06,8.614904423e-06,7.02131611e-06
2.70000000,3.21604495e-05,3.459649499e-05,8.744137774e-06,2.866477438e-05,3.862603821e-05
2.75000000,8.061757106e-05,8.57897826e-05,6.808274258e-06,8.848072894e-05,7.565249429e-05
2.80000000,4.495365831e-05,7.161510002e-05,1.871858274e-05,5.738217968e-05,7.150850314e-05
2.85000000,1.25483453e-05,1.351368812e-05,1.39072035e-05,2.743573572e-05,1.127378455e-05
2.90000000,0.0002063696081,0.0001603765455,0.0001553291981,0.0001664278955,0.000207120267
2.95000000,0.0003457301214,0.0002513657399,0.0002668297881,0.0002564077104,0.0003430934875
3.00000000,0.0001254167884,8.082104929e-05,0.0001195660907,8.187723548e-05,0.0001245181452
3.05000000,1.860315185e-05,2.190462998e-05,2.719451888e-05,2.012336134e-05,1.858680299e-05
3.10000000,0.0002375871887,0.0001259003985,0.0003529416307,0.0001217646093,0.0002424522904
3.15000000,0.0001534185013,0.0002183122641,0.0003222149446,0.00021885221,0.0001526439297
3.20000000,0.004715891516,0.002569790873,0.004814980531,0.002566679282,0.004715920732
3.25000000,0.01712474049,0.009116314161,0.01786974564,0.00911385128,0.01712292464
3.30000000,0.01511783967,0.008036626021,0.01581901106,0.008028333971,0.01512021393
3.35000000,0.00247413228,0.001308995905,0.002597708031,0.001303747068,0.002470370164
3.40000000,0.0004167610565,0.0002146962527,0.0004341768757,0.0002309624065,0.0004283854528
3.45000000,9.117761391e-05,3.851199583e-05,7.13155412e-05,3.462645014e-05,8.24371782e-05
3.50000000,0.0006510365748,0.0004828798028,0.0007215624411,0.0004919655042,0.0006525894842
3.55000000,0.0007343921337,0.0005597616491,0.0008100090927,0.0005537729422,0.0007313649095
3.60000000,0.0002624370317,0.0001892800193,0.000286912647,0.0001881619522,0.0002618073939
3.65000000,4.2233228e-05,3.244351123e-05,4.508037589e-05,2.555443251e-05,3.858440128e-05
3.70000000,1.706676797e-05,3.2199392e-06,2.757828193e-05,2.513125645e-05,3.172676108e-05
3.75000000,1.692904202e-05,1.279212891e-05,1.029731615e-05,9.556955305e-06,1.374375149e-05
3.80000000,3.754732815e-06,7.566672301e-06,5.599203463e-06,3.972458707e-06,1.827715485e-06
3.85000000,1.809694724e-05,1.888366418e-05,8.117120725e-06,5.952147317e-06,7.394731922e-06
3.90000000,3.419168669e-05,5.816445547e-05,8.230985258e-06,5.804339022e-05,4.01750775e-05
3.95000000,3.658598041e-05,5.966093945e-05,4.552561749e-06,5.638056218e-05,3.37901135e-05
4.00000000,6.919266032e-05,0.0001630034947,4.540979222e-06,0.000163699507,7.187051064e-05
4.05000000,8.284324053e-05,0.0002023021633,2.063484447e-06,0.0001986824571,8.097242148e-05
4.10000000,5.069349994e-05,0.0001058024537,1.10564128e-06,9.290986526e-05,3.648586273e-05
4.15000000,6.700598255e-05,0.0001444749343,1.49567373e-06,0.0001525992992,7.310999465e-05
4.20000000,0.0001514632393,0.000313466991,4.145290181e-06,0.0002971883254,0.0001382819636
