t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.92500000,0.02965427242,0.09352399941,0.07244603612,-0.05516930252,-0.02194506623,0.1172429841,0.5040885917,-0.8576142621,-0.217720068,6.930794178
0.93333333,0.0302557906,0.09703170382,0.06330347594,-0.05463830558,0.03612801716,0.02737323861,0.3329706572,-1.317516089,0.3374295772,6.993681792
0.94166667,0.03011471582,0.09898477151,0.05087913066,-0.04976719125,0.09442836988,-0.0609827201,0.1298388119,-1.638028179,0.8149587346,6.988435157
0.95000000,0.02924330042,0.09908731381,0.0364546059,-0.0413509378,0.1524519038,-0.1479465188,-0.112156347,-1.797062414,1.186728061,6.929593369
0.95833333,0.0276518703,0.09699641922,0.02135230317,-0.03027910416,0.2098105986,-0.2338639551,-0.3968655546,-1.803815702,1.454916684,6.830008426
0.96666667,0.02534686293,0.09235894889,0.006748002917,-0.01732909736,0.2661787801,-0.3193229735,-0.7222345337,-1.68226872,1.641329405,6.692053367
0.97500000,0.02232885513,0.08487887517,-0.006416100438,-0.003092827196,0.3212415592,-0.4051349797,-1.076214783,-1.463890201,1.766685907,6.516931601
0.98333333,0.01859096243,0.07440413636,-0.01748369472,0.01199076679,0.3746950221,-0.4922621694,-1.43641547,-1.185647237,1.846928338,6.306071329
0.99166667,0.0141175809,0.06100207494,-0.0261175546,0.02759494195,0.4262479504,-0.5819734198,-1.773683646,-0.8859650354,1.893139804,6.061087983
1.00000000,0.008878547213,0.04498358016,-0.03228101547,0.04347012743,0.4756232934,-0.6762468297,-2.060539174,-0.5971847195,1.912965141,5.783761221
1.00833333,0.002829556871,0.02685134407,-0.036160184,0.05941933176,0.5225595094,-0.7767976314,-2.278685916,-0.3401360081,1.911603768,5.476031802
1.01666667,-0.004090640211,0.00721862904,-0.03806299861,0.07528151659,0.5668117861,-0.8856134847,-2.420177832,-0.123465064,1.892611392,5.139974262
1.02500000,-0.01195879178,-0.01327248912,-0.03832910703,0.09092021138,0.6081531877,-1.004514855,-2.485349325,0.05321330014,1.858354585,4.777798767
1.03333333,-0.02086437277,-0.03400529792,-0.03727422452,0.1062167685,0.6463756334,-1.134684764,-2.479309157,0.1946570006,1.810649614,4.391818358
1.04166667,-0.03090246106,-0.05441620101,-0.03516590485,0.1210642474,0.6812906776,-1.276212844,-2.409388671,0.3069542569,1.750834999,3.984425551
1.05000000,-0.04216190519,-0.07400798194,-0.0322229292,0.1353662671,0.7127300054,-1.427473501,-2.284144935,0.3959294873,1.679829516,3.558053844
1.05833333,-0.05470952195,-0.09235949575,-0.02861995796,0.1490342867,0.7405456385,-1.584518053,-2.113479126,0.4657064613,1.599164977,3.115144152
1.06666667,-0.06857176169,-0.109134685,-0.02450730661,0.1619974696,0.7646098498,-1.74185708,-1.907678054,0.5188663882,1.510726053,2.658111825
1.07500000,-0.08371991263,-0.1240882768,-0.0200096092,0.1741922409,0.7848148538,-1.89178889,-1.678189494,0.5585688845,1.414791711,2.189324379
1.08333333,-0.1000585208,-0.1370696722,-0.01522830012,0.1855573255,0.8010723431,-2.026230103,-1.436085313,0.5872316997,1.311654865,1.711087364
1.09166667,-0.1174264456,-0.1480161407,-0.01024765178,0.1960341351,0.813312963,-2.137827818,-1.191205765,0.6066949418,1.201673489,1.225643143
1.10000000,-0.1356111551,-0.1569349016,-0.0051392545,0.2055673755,0.8214857681,-2.221406446,-0.9506511691,0.6181167605,1.085268741,0.7351722089
1.10833333,-0.1543634425,-0.1638868551,3.533655108e-05,0.2141053518,0.8255578135,-2.273738095,-0.7197510793,0.6226862734,0.9628907521,0.241813179
1.11666667,-0.1734171053,-0.1689652062,0.005221606204,0.2216003439,0.8255138092,-2.293733283,-0.501471254,0.6212109645,0.8350377722,-0.2523297538
1.12500000,-0.192503855,-0.1722882529,0.01037856731,0.228008894,0.8213560246,-2.281870415,-0.2987127014,0.6158674882,0.7022332037,-0.7451369311
1.13333333,-0.21136491,-0.1739863071,0.01547624691,0.233291932,0.8131045679,-2.239935543,-0.1113368492,0.6069904347,0.5650037702,-1.234449435
1.14166667,-0.2297597149,-0.1741834441,0.02048540286,0.2374148793,0.8007976197,-2.170412438,0.06170402498,0.5946322548,0.4239043116,-1.71808905
1.15000000,-0.2474695683,-0.1729941411,0.0253773182,0.240347768,0.7844916743,-2.076005722,0.2216122475,0.5788674337,0.2794825083,-2.193835481
1.15833333,-0.264297867,-0.1705235146,0.0301239967,0.2420652316,0.7642619053,-1.959295492,0.3694164533,0.5597921003,0.1322965778,-2.659425285
1.16666667,-0.2800694627,-0.1668682847,0.03469827472,0.2425466318,0.7402025416,-1.822853504,0.5061096134,0.5375089107,-0.01707492549,-3.112550049
1.17500000,-0.2946303846,-0.1621172267,0.03907389448,0.2417762592,0.7124272062,-1.669105826,0.6325181832,0.5121360846,-0.1680245011,-3.550865799
1.18333333,-0.3078459256,-0.1563532802,0.04322568537,0.2397436586,0.6810691478,-1.500255217,0.7492243361,0.4838158526,-0.3198961076,-3.972009428
1.19166667,-0.3195989168,-0.1496554034,0.04712976874,0.2364440822,0.6462812905,-1.318450688,0.8567459962,0.4527153149,-0.4719713404,-4.37362684
1.20000000,-0.3297913357,-0.1420970021,0.05076371428,0.231879156,0.6082360732,-1.126563303,0.9563269544,0.4190138037,-0.623435675,-4.75339258
1.20833333,-0.3383579043,-0.1337322525,0.05410664336,0.2260577416,0.567125066,-0.9284814094,1.050230161,0.3829048023,-0.7733653658,-5.109045758
1.21666667,-0.3452520404,-0.1246102764,0.05713749653,0.218998673,0.5231583778,-0.7253653249,1.137974916,0.3437633088,-0.9199081275,-5.438399264
1.22500000,-0.3504364596,-0.1147845017,0.05982333119,0.2107433023,0.4765639217,-0.5183376173,1.219061845,0.3000769605,-1.060226914,-5.739371113
1.23333333,-0.3538832866,-0.1043124106,0.0621262182,0.2013493346,0.4275865634,-0.3085326958,1.29295915,0.2518974213,-1.192922087,-6.009974742
1.24166667,-0.3555740784,-0.09326100646,0.06401218126,0.1908879162,0.3764872195,-0.09707677054,1.357703551,0.2002400258,-1.316087108,-6.248345934
1.25000000,-0.3554998316,-0.08171272567,0.065455777,0.1794395793,0.3235473226,0.114883364,1.412115907,0.1457588049,-1.430902845,-6.450099496
1.25833333,-0.3536611864,-0.0697560028,0.0664324232,0.1670437495,0.2691157587,0.3261844046,1.455589671,0.08813725437,-1.544189987,-6.605078273
1.26666667,-0.3500684929,-0.05748639754,0.06691776665,0.1536936312,0.2136139485,0.5356611754,1.487061163,0.02785561464,-1.6609914,-6.705400758
1.27500000,-0.3447417872,-0.04500646703,0.06688728523,0.1393294361,0.1575415618,0.7421549849,1.505956654,-0.03567409113,-1.789408691,-6.739717101
1.28333333,-0.337710719,-0.03242546482,0.06631437427,0.1237980527,0.1015170924,0.9445181308,1.511133504,-0.1024631599,-1.944084838,-6.690306358
1.29166667,-0.3290143871,-0.01986088165,0.06516826495,0.1067904173,0.04634248164,1.14163669,1.501818815,-0.1733990311,-2.148612469,-6.530252264
1.30000000,-0.318701046,-0.007439127402,0.06340965048,0.08774979719,-0.006903659749,1.332418214,1.476738411,-0.2498731171,-2.43906617,-6.219817916
1.30833333,-0.3068280206,0.00470390546,0.06098035443,0.06577565905,-0.05676865641,1.515783399,1.434623258,-0.3350172186,-2.860036873,-5.71081768
1.31666667,-0.293461508,0.0164205118,0.05778372836,0.03964395194,-0.1014460691,1.69068314,1.374084974,-0.4355179697,-3.435432837,-4.975454881
1.32500000,-0.2786762426,0.02754927672,0.05364249441,0.008268139208,-0.1392180855,1.856128612,1.293226354,-0.5649235575,-4.094978788,-4.074290596
1.33333333,-0.2625548794,0.03791130129,0.04821457426,-0.02828014544,-0.1693658044,2.011189928,1.189614476,-0.750404564,-4.638861742,-3.175853441
1.34166667,-0.2451878072,0.04730343403,0.04084663933,-0.06818494115,-0.1925293291,2.154950339,1.059718392,-1.040913025,-4.87594915,-2.410368649
1.35000000,-0.2266727735,0.05548482875,0.03036624156,-0.1084006672,-0.2099730682,2.286573018,0.8977408374,-1.511963607,-4.70203196,-1.799529388
