t_s,theta_rad
14.28225000,-0.3358467758
14.30310000,-0.3314285793
14.32395000,-0.3148188133
14.34480000,-0.2884765883
14.36565000,-0.2513863489
14.38650000,-0.204747175
14.40735000,-0.1511710997
14.42820000,-0.09282105243
14.44905000,-0.03019686307
14.46990000,0.03304738868
14.49075000,0.09560241378
14.51160000,0.1550807912
14.53245000,0.2101654085
14.55330000,0.2578070023
14.57415000,0.2979890351
14.59500000,0.3276314104
14.61585000,0.3461843428
14.63670000,0.3547055442
14.65755000,0.3510585891
14.67840000,0.3355932267
14.69925000,0.3102244717
14.72010000,0.2748072336
14.74095000,0.2287882859
14.76180000,0.1763025637
14.78265000,0.1179237476
14.80350000,0.05711369736
14.82435000,-0.006080370164
14.84520000,-0.06843467072
14.86605000,-0.127530526
14.88690000,-0.1820307031
14.90775000,-0.2302392517
14.92860000,-0.2699483452
14.94945000,-0.3000305973
14.97030000,-0.3193284892
14.99115000,-0.3278117949
15.01200000,-0.3249441528
15.03285000,-0.3094468307
15.05370000,-0.2842095913
15.07455000,-0.2480347382
15.09540000,-0.2036467159
15.11625000,-0.1523727976
15.13710000,-0.09429710615
15.15795000,-0.03344669984
15.17880000,0.02864764753
15.19965000,0.08985023998
15.22050000,0.1477022922
15.24135000,0.2016121551
15.26220000,0.2491486819
15.28305000,0.2887349289
15.30390000,0.3199520174
15.32475000,0.3385960442
15.34560000,0.3477104774
15.36645000,0.3454846505
15.38730000,0.3321686387
15.40815000,0.3077431554
15.42900000,0.2722793746
15.44985000,0.2286854664
15.47070000,0.1783708246
15.49155000,0.1219670305
15.51240000,0.06294668945
15.53325000,0.001392343958
15.55410000,-0.0595299981
15.57495000,-0.1177097532
15.59580000,-0.1719483727
15.61665000,-0.2193812977
15.63750000,-0.2593870289
15.65835000,-0.2890962012
15.67920000,-0.3085159106
15.70005000,-0.3170540318
15.72090000,-0.3144085919
15.74175000,-0.3016889185
15.76260000,-0.2780442863
15.78345000,-0.2441655409
15.80430000,-0.2022580407
15.82515000,-0.1533081128
15.84600000,-0.09707100098
15.86685000,-0.03764853535
15.88770000,0.02167473403
15.90855000,0.08248477966
15.92940000,0.1395727195
15.95025000,0.1930274776
15.97110000,0.2383119721
15.99195000,0.2775735916
16.01280000,0.3079992783
16.03365000,0.3270831151
16.05450000,0.3370423149
16.07535000,0.3350837494
16.09620000,0.3216274703
16.11705000,0.2982969832
16.13790000,0.2645266347
16.15875000,0.2228983629
16.17960000,0.1740559872
16.20045000,0.120646667
16.22130000,0.06291576089
16.24215000,0.003058885373
16.26300000,-0.05601576179
