frequency_Hz,amp_rad
2.69260924,7.983553739e-06
2.70015156,7.736893255e-06
2.70769389,7.682717334e-06
2.71523621,4.472169974e-06
2.72277853,1.350636637e-05
2.73032085,2.1457086e-05
2.73786318,2.286974651e-05
2.74540550,5.283645385e-05
2.75294782,4.879968477e-05
2.76049015,2.527493405e-05
2.76803247,6.370004355e-06
2.77557479,1.882204687e-05
2.78311711,2.08449732e-05
2.79065944,2.726755418e-05
2.79820176,2.429063993e-06
2.80574408,1.555368084e-05
2.81328640,1.025100729e-05
2.82082873,2.573890091e-05
2.82837105,5.180092672e-05
2.83591337,6.719135218e-05
2.84345570,4.450018706e-05
2.85099802,4.132126396e-05
2.85854034,4.919325489e-05
2.86608266,2.545474388e-05
2.87362499,8.404466513e-06
2.88116731,4.076017832e-06
2.88870963,1.203767835e-05
2.89625196,1.562751771e-05
2.90379428,9.038903239e-06
2.91133660,1.440630564e-05
2.91887892,9.935763063e-06
2.92642125,1.133609365e-05
2.93396357,3.250769112e-05
2.94150589,2.658299691e-05
2.94904822,3.1670998e-05
2.95659054,2.205924717e-05
2.96413286,1.286490045e-05
2.97167518,1.028070882e-05
2.97921751,5.859976421e-06
2.98675983,2.026473501e-06
2.99430215,1.584480799e-05
3.00184448,1.881920989e-05
3.00938680,2.09894922e-05
3.01692912,3.75045239e-05
3.02447144,2.564137018e-05
3.03201377,2.965966023e-05
3.03955609,3.453739244e-05
3.04709841,3.856664234e-05
3.05464073,3.920425222e-05
3.06218306,1.462319934e-05
3.06972538,4.190318545e-05
3.07726770,4.099303584e-05
3.08481003,1.750498654e-05
3.09235235,2.27198077e-05
3.09989467,7.146430768e-06
3.10743699,5.917374488e-06
3.11497932,1.571494872e-06
3.12252164,1.236176018e-05
3.13006396,1.789279687e-05
3.13760629,1.18413695e-05
3.14514861,2.062516512e-05
3.15269093,2.726269318e-05
3.16023325,5.605825074e-05
3.16777558,4.454715628e-05
3.17531790,2.949124541e-05
3.18286022,2.872602837e-05
3.19040255,4.682880864e-05
3.19794487,4.20068567e-05
3.20548719,1.713956116e-05
3.21302951,1.5077358e-05
3.22057184,4.980346464e-05
3.22811416,4.815535238e-05
3.23565648,1.730765511e-05
3.24319880,4.475061907e-06
3.25074113,2.638738874e-05
3.25828345,2.416270967e-05
3.26582577,1.184336324e-05
3.27336810,1.12818258e-05
3.28091042,1.828119633e-05
3.28845274,9.355683339e-06
3.29599506,7.598513913e-06
3.30353739,1.912964303e-05
3.31107971,4.110235366e-06
3.31862203,2.408998408e-05
3.32616436,2.667577158e-05
3.33370668,1.63410014e-05
3.34124900,2.570355599e-05
3.34879132,2.838214317e-05
3.35633365,2.117450224e-05
3.36387597,2.328901433e-05
3.37141829,1.838863529e-05
3.37896062,2.088519736e-05
3.38650294,1.161925797e-05
3.39404526,1.974839481e-05
3.40158758,4.851662192e-05
3.40912991,3.590973321e-05
3.41667223,9.247541395e-06
