t_s,theta_rad,amplitude_rad,kind
35.4867,-0.1635381858171944,0.1623049977578825,trough
35.84115,0.1633874381828056,0.16462062624211748,peak
36.1956,-0.1618348283171944,0.1606016402578825,trough
36.55005,0.1643769345828056,0.1656101226421175,peak
36.9045,-0.15869814721719439,0.1574649591578825,trough
37.2381,0.1588628094828056,0.16009599754211748,peak
37.59255,-0.15834289891719439,0.1571097108578825,trough
37.947,0.1586384127828056,0.1598716008421175,peak
38.30145,-0.1603387515171944,0.15910556345788252,trough
38.6559,0.1549345300828056,0.1561677181421175,peak
39.01035,-0.1607526748171944,0.15951948675788252,trough
39.3648,0.15171493708280562,0.1529481251421175,peak
39.71925,-0.1557200762171944,0.1544868881578825,trough
40.05285,0.1536612790828056,0.1548944671421175,peak
40.4073,-0.15335365961719438,0.1521204715578825,trough
40.76175,0.1512030736828056,0.1524362617421175,peak
41.1162,-0.1552590373171944,0.1540258492578825,trough
41.47065,0.1477181346828056,0.14895132274211748,peak
41.8251,-0.1523143485171944,0.1510811604578825,trough
42.17955,0.1462274818828056,0.14746066994211748,peak
42.51315,-0.1503098489171944,0.14907666085788251,trough
42.8676,0.14659418078280562,0.1478273688421175,peak
43.22205,-0.1503107999171944,0.1490776118578825,trough
43.5765,0.14424217498280562,0.1454753630421175,peak
43.93095,-0.1463152830171944,0.14508209495788252,trough
44.2854,0.1446699354828056,0.14590312354211749,peak
44.63985,-0.1449036413171944,0.14367045325788252,trough
44.9943,0.1420244611828056,0.14325764924211748,peak
45.3279,-0.1444596196171944,0.1432264315578825,trough
45.68235,0.1414141614828056,0.1426473495421175,peak
46.0368,-0.1444310357171944,0.14319784765788252,trough
46.39125,0.1383305423828056,0.13956373044211748,peak
46.7457,-0.1426324156171944,0.1413992275578825,trough
47.10015,0.1387493580828056,0.1399825461421175,peak
47.43375,-0.13967848141719438,0.1384452933578825,trough
47.80905,0.1370210581828056,0.1382542462421175,peak
48.14265,-0.1384387314171944,0.13720554335788251,trough
48.4971,0.1357164596828056,0.1369496477421175,peak
48.85155,-0.1387653189171944,0.13753213085788252,trough
49.206,0.1331637663828056,0.1343969544421175,peak
49.56045,-0.1374588893171944,0.13622570125788253,trough
49.9149,0.1319168241828056,0.13315001224211748,peak
50.2485,-0.1376962792171944,0.13646309115788252,trough
50.60295,0.1284385529828056,0.12967174104211748,peak
50.9574,-0.13414993441719442,0.13291674635788253,trough
51.31185,0.1292288554828056,0.1304620435421175,peak
51.6663,-0.1344820967171944,0.13324890865788253,trough
52.02075,0.1282177042828056,0.12945089234211749,peak
52.3752,-0.1339244709171944,0.1326912828578825,trough
52.72965,0.12469924678280561,0.1259324348421175,peak
53.06325,-0.1296430900171944,0.12840990195788252,trough
53.4177,0.1265316363828056,0.12776482444211748,peak
53.77215,-0.1275299061171944,0.1262967180578825,trough
54.1266,0.1250077081828056,0.12624089624211748,peak
54.48105,-0.1259709102171944,0.12473772215788252,trough
54.8355,0.1219500692828056,0.12318325734211748,peak
55.18995,-0.1277158397171944,0.12648265165788253,trough
55.5444,0.1209027426828056,0.12213593074211747,peak
55.878,-0.1245163799171944,0.12328319185788253,trough
56.23245,0.1211886178828056,0.12242180594211748,peak
56.5869,-0.1255179720171944,0.12428478395788252,trough
56.94135,0.1200007028828056,0.12123389094211746,peak
57.2958,-0.12003765971719439,0.11880447165788252,trough
57.65025,0.1198947424828056,0.12112793054211747,peak
58.0047,-0.12219145721719439,0.12095826915788252,trough
58.3383,0.11701269428280561,0.11824588234211748,peak
58.69275,-0.1197593164171944,0.11852612835788252,trough
59.0472,0.11594189048280559,0.11717507854211746,peak
59.40165,-0.1206434841171944,0.11941029605788253,trough
59.7561,0.11551684328280559,0.11675003134211746,peak
60.11055,-0.11404715581719439,0.11281396775788252,trough
60.465,0.1142535408828056,0.11548672894211746,peak
60.7986,-0.11443296931719439,0.11319978125788252,trough
61.15305,0.1130346861828056,0.11426787424211747,peak
61.5075,-0.11721004341719439,0.11597685535788252,trough
61.86195,0.11046850848280561,0.11170169654211748,peak
62.2164,-0.1166851461171944,0.11545195805788253,trough
62.57085,0.10955183458280561,0.11078502264211748,peak
62.9253,-0.11308626771719439,0.11185307965788252,trough
63.2589,0.1085367491828056,0.10976993724211748,peak
63.61335,-0.11375967201719439,0.11252648395788252,trough
63.9678,0.10979268458280561,0.11102587264211748,peak
64.32225,-0.1108147247771944,0.10958153671788252,trough
64.6767,0.1081616852828056,0.10939487334211748,peak
65.03115,-0.11097247121719439,0.10973928315788252,trough
65.3856,0.1067363644828056,0.10796955254211747,peak
65.74005,-0.10767454699719439,0.10644135893788252,trough
66.07365,0.1057745917828056,0.10700777984211747,peak
66.4281,-0.1093550172471944,0.10812182918788253,trough
66.78255,0.10415635888280561,0.10538954694211748,peak
67.137,-0.1073847833571944,0.10615159529788253,trough
67.49145,0.10300694168280561,0.10424012974211748,peak
67.8459,-0.1062314549971944,0.10499826693788253,trough
68.1795,0.1020396704828056,0.10327285854211747,peak
68.53395,-0.10473725893719439,0.10350407087788252,trough
68.8884,0.1017143392828056,0.10294752734211747,peak
69.24285,-0.1039670105371944,0.10273382247788253,trough
69.5973,0.1016477007828056,0.10288088884211748,peak
69.95175,-0.0997767332671944,0.09854354520788253,trough
70.28535,0.0999958734828056,0.10122906154211747,peak
70.6398,-0.1010609693071944,0.09982778124788252,trough
70.99425,0.09751189168280561,0.09874507974211748,peak
71.3487,-0.1009903598071944,0.09975717174788253,trough
71.70315,0.09776405018280561,0.09899723824211748,peak
