theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
-48.00000000000001,-44.0,0.05,0.0563352453461365,0.0263352453461365,0.025992440975723688,-0.18367024381356584,0.046489523901288736,-0.019458977401057852,0.020320130607374854,0.06307014620908183,0.05895513699105238,0.04361116880802397,0.07927526759842723,0,0
-48.00000000000001,-42.0,0.05,0.05985058247086417,0.029850582470864175,0.029147417340859863,-0.13385368944627535,0.04860646964274909,-0.015533686829823168,0.016313478726514036,0.06307014620908183,0.056788614721113365,0.04753645937925866,0.0731020934476274,0,0
-48.00000000000001,-40.0,0.05,0.06354223293489915,0.03354223293489915,0.032403148299591775,-0.09710411011125963,0.04512267370011544,-0.012174605394722385,0.012778014533707934,0.06307014620908183,0.05455290427175216,0.050895540814359444,0.06733091880546009,0,0
-48.00000000000001,-38.0,0.05,0.06737710528198641,0.037377105281986414,0.035755667245253045,-0.07047038176346948,0.03922962071221323,-0.009430804242407971,0.009848094245992133,0.06307014620908183,0.05225072951176656,0.05363934196667386,0.062098823757758694,0,0
-48.00000000000001,-36.0,0.05,0.0713278163838506,0.04132781638385061,0.039200889649924395,-0.05156311183910801,0.03293234452883832,-0.0072888386143796,0.007547960186690633,0.06307014620908183,0.04988489528647874,0.05578130759470223,0.05743285547316938,0,0
-48.00000000000001,-34.0,0.05,0.07537172517007305,0.045371725170073055,0.042734618040801545,-0.043648623948911704,0.03262799623079193,-0.006606374517732525,0.0067272129614389525,0.06307014620908183,0.04745828400046341,0.05646377169134931,0.05418549696190236,0,0
-48.00000000000001,-32.0,0.05,0.07949006378300119,0.04949006378300119,0.04635254711416936,-0.03830429618025884,0.03352700886076147,-0.0062469801496221646,0.006210458469136425,0.06307014620908183,0.044973852105781725,0.05682316605945967,0.05118431057491815,0,0
-48.00000000000001,-29.999999999999996,0.05,0.08366719916980343,0.053667199169803434,0.050050268980751156,-0.03332968773783283,0.03378332805013125,-0.005859132423576463,0.005654986549647158,0.06307014620908183,0.0424346265,0.05721101378550537,0.048089613049647165,0,0
-48.00000000000001,-28.0,0.05,0.08789002529240704,0.05789002529240704,0.05382327853604291,-0.028798624857841057,0.03356552693750102,-0.005464419255982055,0.005090145221364846,0.06307014620908183,0.03984370083838116,0.057605726953099776,0.044933846059746006,0,0
-48.00000000000001,-26.0,0.05,0.09214747196056905,0.06214747196056905,0.05766697894908908,-0.0247566772047328,0.03298343653504884,-0.005076696619044767,0.004537006323307667,0.06307014620908183,0.03720423176474236,0.05799344959003706,0.041741238088050026,0,0
-48.00000000000001,-24.000000000000004,0.05,0.09643011191095537,0.06643011191095537,0.061576687263013005,-0.02122450376798935,0.032142679309356915,-0.004707373890665408,0.004012121263383846,0.06307014620908183,0.03451943506557079,0.05836277231841642,0.038531556328954636,0,0
-48.00000000000001,-22.0,0.05,0.10072984801414578,0.07072984801414578,0.06554764010047859,-0.01816250588414009,0.031170149939887305,-0.004364831022414564,0.0035243574359183827,0.06307014620908183,0.03179258175208318,0.058705315186667266,0.035316939188001564,0,0
-48.00000000000001,-20.0,0.05,0.10503966463492984,0.07503966463492984,0.06957499946713176,-0.015536790010445948,0.03014056615383117,-0.004053127560874752,0.003078439992292895,0.06307014620908183,0.029026994075002446,0.059017018648207076,0.03210543406729534,0,0
-48.00000000000001,-18.0,0.05,0.10935342983093367,0.07935342983093367,0.0736538586459514,-0.01332368288534306,0.029103455119233748,-0.003774854614244302,0.0026775820039084412,0.06307014620908183,0.026226041476906995,0.059295291594837526,0.028903623480815436,0,0
-48.00000000000001,-16.0,0.05,0.11366573763273986,0.08366573763273986,0.07777924817532823,-0.011484452027142896,0.028106165100305752,-0.0035311578035610944,0.002321844899130501,0.06307014620908183,0.02339313648708393,0.059538988405520736,0.025714981386214433,0,0
-48.00000000000001,-14.0,0.05,0.11797178186951776,0.08797178186951776,0.08194614190358822,-0.009949241998587436,0.027191306397402575,-0.0033201737887360184,0.002006097972377203,0.06307014620908183,0.020531730563887792,0.05974997242034581,0.022537828536264994,0,0
-48.00000000000001,-12.000000000000002,0.05,0.12226725483424672,0.09226725483424672,0.08614946311258428,-0.008680438336947543,0.026375241984233348,-0.003140294796232425,0.0017271048819231876,0.06307014620908183,0.0176453098896702,0.05992985141284941,0.019372414771593387,0,0
-48.00000000000001,-10.0,0.05,0.1265482655472358,0.0965482655472358,0.09038409070289524,-0.007693913730105667,0.025664384482002766,-0.002993422432157361,0.0014872325608032873,0.06307014620908183,0.014737391123403663,0.06007672377692447,0.01622462368420695,0,0
-48.00000000000001,-8.0,0.05,0.13081127352917926,0.10081127352917926,0.09464486543309666,-0.006900435494821058,0.025078403181983434,-0.002873983876658346,0.001275883845314812,0.06307014620908183,0.01181151711617434,0.06019616233242348,0.013087400961489151,0,0
-48.00000000000001,-6.000000000000001,0.05,0.13505303489328968,0.10505303489328968,0.09892659620550187,-0.006535206895,0.024808682955,-0.0028190077292988562,0.0011237568876099977,0.06307014620908183,0.008871252594763691,0.06025113847978297,0.009995009482373689,0,0
-48.00000000000001,-4.0,0.05,0.13927055826273285,0.10927055826273285,0.10322406639071471,-0.006535206895,0.024808682955,-0.0028190077292988562,0.0010195994188619637,0.06307014620908183,0.0059201798185780285,0.06025113847978297,0.006939779237439992,0,0
-48.00000000000001,-2.0,0.05,0.14346106855884708,0.11346106855884708,0.10753204018328907,-0.006535206895,0.024808682955,-0.0028190077292988562,0.0009141997252792973,0.06307014620908183,0.0029618942152172213,0.06025113847978297,0.0038760939404965185,0,0
-48.00000000000001,0.0,0.05,0.14762197712307876,0.11762197712307876,0.11184526898075117,-0.006535206895,0.024808682955,-0.0028190077292988562,0.00080768622015305,0.06307014620908183,-0.0,0.06025113847978297,0.00080768622015305,0,0
-48.00000000000001,2.0,0.05,0.15175085695920254,0.12175085695920254,0.11615849777821327,-0.006535206895,0.024808682955,-0.0028190077292988562,0.0007001886737820711,0.06307014620908183,-0.0029618942152172213,0.06025113847978297,-0.0022617055414351503,0,0
-48.00000000000001,4.0,0.05,0.15584542213391556,0.12584542213391556,0.1204664715707876,-0.006535206895,0.024808682955,-0.0028190077292988562,0.0005918380553678858,0.06307014620908183,-0.0059201798185780285,0.06025113847978297,-0.005328341763210143,0,0
-48.00000000000001,6.000000000000001,0.05,0.15990351056998808,0.12990351056998808,0.12476394175600045,-0.006535206895,0.024808682955,-0.0028190077292988562,0.0004827663734488983,0.06307014620908183,-0.008871252594763691,0.06025113847978297,-0.008388486221314793,0,0
-48.00000000000001,8.0,0.05,0.16392306961957437,0.13392306961957437,0.12904567252840565,-0.006900435494821058,0.025078403181983434,-0.002873983876658346,0.00041316653519301693,0.06307014620908183,-0.01181151711617434,0.06019616233242348,-0.011398350580981324,0,0
-48.00000000000001,10.0,0.05,0.1679021439257969,0.1379021439257969,0.13330644725860707,-0.007693913730105667,0.025664384482002766,-0.002993422432157361,0.0003856566992838867,0.06307014620908183,-0.014737391123403663,0.06007672377692447,-0.014351734424119775,0,0
-48.00000000000001,12.000000000000002,0.05,0.17183886517575644,0.14183886517575645,0.13754107484891803,-0.008680438336947543,0.026375241984233348,-0.003140294796232425,0.00037163868641761836,0.06307014620908183,-0.0176453098896702,0.05992985141284941,-0.017273671203252582,0,0
-48.00000000000001,14.0,0.05,0.17573144342339087,0.14573144342339087,0.14174439605791408,-0.009949241998587436,0.027191306397402575,-0.0033201737887360184,0.000380105321637177,0.06307014620908183,-0.020531730563887792,0.05974997242034581,-0.020151625242250615,0,0
-48.00000000000001,16.0,0.05,0.17957815972047153,0.14957815972047153,0.1459112897861741,-0.011484452027142896,0.028106165100305752,-0.0035311578035610944,0.00040691448899516573,0.06307014620908183,-0.02339313648708393,0.059538988405520736,-0.022986221998088766,0,0
-48.00000000000001,18.0,0.05,0.18337735984184245,0.15337735984184245,0.1500366793155509,-0.01332368288534306,0.029103455119233748,-0.003774854614244302,0.00045457801067027214,0.06307014620908183,-0.026226041476906995,0.059295291594837526,-0.025771463466236724,0,0
-48.00000000000001,20.0,0.05,0.1871274489293628,0.1571274489293628,0.15411553849437057,-0.015536790010445948,0.03014056615383117,-0.004053127560874752,0.0005303402830618583,0.06307014620908183,-0.029026994075002446,0.059017018648207076,-0.028496653791940586,0,0
-48.00000000000001,22.0,0.05,0.19082688690990568,0.16082688690990568,0.15814289786102373,-0.01816250588414009,0.031170149939887305,-0.004364831022414564,0.0006381493677996772,0.06307014620908183,-0.03179258175208318,0.058705315186667266,-0.031154432384283504,0,0
-48.00000000000001,24.000000000000004,0.05,0.1944741845677547,0.1644741845677547,0.1621138506984893,-0.02122450376798935,0.032142679309356915,-0.004707373890665408,0.0007805874604049272,0.06307014620908183,-0.03451943506557079,0.05836277231841642,-0.033738847605165864,0,0
-48.00000000000001,26.0,0.05,0.1980679001720291,0.1680679001720291,0.16602355901241325,-0.0247566772047328,0.03298343653504884,-0.005076696619044767,0.0009630339416340753,0.06307014620908183,-0.03720423176474236,0.05799344959003706,-0.03624119782310828,0,0
-48.00000000000001,28.0,0.05,0.20160663657631117,0.17160663657631117,0.1698672594254594,-0.028798624857841057,0.03356552693750102,-0.005464419255982055,0.001195067854886283,0.06307014620908183,-0.03984370083838116,0.057605726953099776,-0.03864863298349488,0,0
-48.00000000000001,29.999999999999996,0.05,0.20508903872118966,0.17508903872118967,0.17364026898075116,-0.03332968773783283,0.03378332805013125,-0.005859132423576463,0.0014797050359314375,0.06307014620908183,-0.0424346265,0.05721101378550537,-0.04095492146406857,0,0
-48.00000000000001,32.0,0.05,0.20851379148155372,0.17851379148155372,0.17733799084733295,-0.03830429618025884,0.03352700886076147,-0.0062469801496221646,0.001818908336463876,0.06307014620908183,-0.044973852105781725,0.05682316605945967,-0.04315494376931785,0,0
