time_s,theta1,theta2,theta3,theta4,theta5
3.9,-0.2973003745,-0.05268374296,0.1034346712,0.1941083442,0.7223776494
3.91666667,-0.2965821546,-0.06794165558,0.05305077469,0.1817702514,0.8170663534
3.93333333,-0.2953267132,-0.09387612894,0.002715317141,0.1817989304,0.8959570197
3.95,-0.2954574953,-0.1334318882,-0.0338553149,0.1873909881,0.9576917204
3.96666667,-0.300975847,-0.1808981594,-0.05305298021,0.1949528128,1.001446275
3.98333333,-0.318457261,-0.2223988951,-0.05895660262,0.2028163619,1.026689808
4.0,-0.3529293866,-0.2461416156,-0.05620643724,0.2101798084,1.033135949
4.01666667,-0.4010841303,-0.2513441725,-0.04753299927,0.2166860777,1.020720915
4.03333333,-0.4541712753,-0.2445277592,-0.03443528836,0.2222625459,0.9896022861
4.05,-0.5048862063,-0.2316865438,-0.01801968491,0.2270923506,0.9401732852
4.06666667,-0.548804672,-0.2163214593,0.0005683320889,0.2315726287,0.8730887737
4.08333333,-0.5833822971,-0.2002559708,0.01995455029,0.2362401473,0.7893801175
4.1,-0.6072964804,-0.1843142732,0.0385934131,0.2414915762,0.6906927807
4.11666667,-0.6199758411,-0.1688614726,0.05495979201,0.2475867557,0.5791624521
4.13333333,-0.6211293944,-0.1542927789,0.06781069986,0.2537911666,0.4581771723
4.15,-0.6107227171,-0.1410701191,0.07631824512,0.2542475872,0.3363681176
4.16666667,-0.5889827507,-0.1297737323,0.07958460404,0.2255191825,0.240444303
4.18333333,-0.5563941427,-0.1211368082,0.07288564915,0.1390749888,0.2068273877
4.2,-0.5136896367,-0.1165952619,0.03349327379,0.04989428625,0.2075348091
4.21666667,-0.4618344797,-0.1222597713,-0.06035972289,0.01443894853,0.2171999583
4.23333333,-0.4024550171,-0.164075083,-0.1469082779,0.006556348858,0.2298586495
4.25,-0.3412174888,-0.2619632847,-0.17691651,0.006164574382,0.2436833414
4.26666667,-0.3101645321,-0.347820368,-0.1802249195,0.009629700151,0.2575675301
4.28333333,-0.3416029072,-0.3695618967,-0.1758714888,0.01658334571,0.2706986243
4.3,-0.4327562883,-0.325432605,-0.1669422165,0.02689422228,0.2825267434
4.31666667,-0.5438132305,-0.2569573597,-0.1498030292,0.04029591567,0.2927341672
4.33333333,-0.6477199098,-0.1995816551,-0.1163183445,0.05671197963,0.3012393722
4.35,-0.7394704951,-0.1639599097,-0.06282803812,0.07717095743,0.3082206045
4.36666667,-0.817001218,-0.1466363468,5.042233655e-05,0.10491813,0.3142528523
