f_Hz,bob1,bob2,bob3,bob4,bob5
1.2788645292336729,1.5957115079366985e-05,0.0006209360388242328,0.0004395607415465598,0.0006954797446060213,0.00028376825654617194
1.2860491614203788,0.00018446324543016892,0.0006793650488460127,0.00044184954806873185,0.0003701009546125301,0.0005045101179802789
1.2932337936070848,4.061681346932724e-05,0.0007349514711095741,0.0002741369702807832,0.0005122665923873794,0.0004959311747941237
1.300418425793791,0.0001714089239583068,0.000349149861755283,0.00024764110413499506,0.0001956584702867142,0.0005024841273150154
1.307603057980497,0.0002082079699744309,0.0006998236484368504,0.000758638973229678,0.00039319173487458337,0.000539283559147769
1.3147876901672029,0.0007493201922342729,0.00014127464542996942,0.0008027423176461139,0.000790593216879735,0.00014602202924400952
1.321972322353909,0.00017951520619711135,0.0005917581784567082,0.0005684020649960608,0.0003546623050480324,0.00039825848560215974
1.329156954540615,0.0005701118419870421,0.0007479978274817523,0.0007921471984369245,0.0008155132662114997,0.0006524660788163834
1.336341586727321,0.0004319545593948425,0.0009026853383432884,0.0003650169199660079,0.0006010235223612854,0.0006318990485929739
1.3435262189140271,0.001268384310961572,0.0018979774640922446,0.0026346147336546,0.0018825088398015113,0.0012819324337471321
1.350710851100733,0.0026226528933881977,0.0034250200955987745,0.0033047550955321897,0.0032757737248515963,0.002385729160894954
1.357895483287439,0.0059567448863745345,0.008479782917101329,0.009218559241206847,0.008411023126690972,0.0061727713857377435
1.3650801154741452,0.015257208268368459,0.021639023855610628,0.022436579820440873,0.019446318335027184,0.01274489363459874
1.3722647476608512,0.054807605406576906,0.08046918475724936,0.08617334711171078,0.07862290773222624,0.05374371015117162
1.3794493798475571,0.1495839358155669,0.21926290413186364,0.23526978274983576,0.2133563220746661,0.14652180232848164
1.3866340120342633,0.19025301990715343,0.27872794740224976,0.2992673982573653,0.2709083407731717,0.18572222416899434
1.3938186442209692,0.08142855592140634,0.11981767724591205,0.12839565422719354,0.11597108605530405,0.07936323189793605
1.4010032764076754,0.003985686359218602,0.005518746699525627,0.0063666207040248765,0.005837990708913282,0.0040421068692559165
1.4081879085943814,0.0006425926564843974,0.00095611014891181,0.0014987984990705262,0.00055269727620344,0.0008378702205314321
1.4153725407810873,0.0005457792591334866,0.000403871422913493,0.0012142708938615479,0.0006991037161908932,0.0005173953554502052
1.4225571729677935,0.0010309300098515473,0.0007278102741811995,0.00127585005578536,0.0008814385084901735,0.00029540275482880336
1.4297418051544994,0.00021749312852586012,0.00016717604839999433,0.000742028928340519,7.158640863505353e-05,0.0003161650339890653
1.4369264373412054,0.0001975511734169674,0.0005013425493672405,0.0005542101888398901,0.0005542484559574661,0.00021533704007433265
1.4441110695279116,0.00042312362817213363,0.0005008422721819017,0.0004962753238926435,0.00029900289098316245,0.00038656597914605515
1.4512957017146175,0.00031451310916195204,0.0002574704572977685,0.0006021348487250519,0.0003102985936147978,0.00010293865783307299
1.4584803339013235,0.00018744401908878545,0.0002846371663208886,0.0005294323956339742,0.0002200688118430635,0.00033006147748926203
1.4656649660880297,0.0003938407290363629,0.0007884194488054351,0.0008806983984469117,0.0002656720684191452,0.0004828236541188863
1.4728495982747356,3.4601951994188534e-05,0.0006600034343451724,0.00045759538280616663,0.00025510106363166497,0.000457197026505624
1.4800342304614416,0.0007420600494402258,0.000645027076211716,0.0002439844140809348,0.0008609301507155124,0.0009334726248047329
1.4872188626481477,0.001363803356932056,0.001160601361087011,0.0005729371801963555,0.0021742898756831235,0.001365019467106084
1.4944034948348537,0.0016489906114710241,0.0020622685587794436,0.001481967382561814,0.0014152549892707013,0.0008657007469905721
1.5015881270215596,0.002054282160596937,0.003097860924685264,0.0031741676278889516,0.003041926584650368,0.0018792754796892392
1.5087727592082658,0.0022159242691362695,0.0017578723312726145,0.0028311287485332645,0.005932543159441751,0.0014556918212121682
1.5159573913949718,0.002093810876860532,0.009775735370466868,0.0012226084408631906,0.010073710139785284,0.0028785471080507914
1.5231420235816777,0.002269612278840057,0.013440417708757502,0.002383684640428007,0.012205244482890445,0.004046851751992571
1.530326655768384,0.001511685862039756,0.008083272001251945,0.0012077297387954283,0.008147122347192282,0.002171416437912505
1.5375112879550898,0.0006640010331313332,0.003897239077981012,0.0004710233559974024,0.004163727691990462,0.0011110703699369845
1.5446959201417958,0.0005263498332700454,0.0016403395628217462,0.0003567876986522205,0.0020116646112493973,0.0005630047013997977
1.551880552328502,0.00010626264786651373,0.001028332351007561,0.0004065490282697526,0.0006108242270995847,0.00031656442877539553
1.559065184515208,0.00010899262951429432,0.00022242590938631096,0.00016527823527703498,0.0006255133546759313,0.0003102702301615914
1.5662498167019139,0.00026924226288475806,0.0005413180805659205,0.00027817046138094864,0.0005843312614064375,0.0003302233351601877
1.57343444888862,0.000225051775270124,0.00020897278714986846,0.00022050929106587767,0.0003819889729133607,6.245811571543725e-05
1.580619081075326,0.00019058032507452782,0.00018699484962063194,0.0005453113656211324,0.00023782711489526499,0.00022442494769142813
1.587803713262032,0.00044974535135598986,0.00024169634427053283,0.0005406334990048425,0.00028514535456601375,0.00023450635111444906
1.5949883454487381,0.00010127991120357477,0.0006830484493507585,0.00025342394448744666,0.00020388116547307634,0.0004545529360290149
1.602172977635444,0.0015521331567094454,0.0014570083780530388,0.0003564895692528431,0.0014805020139499838,0.002057051903958294
1.60935760982215,0.0025258017569295705,0.0021057672364066774,0.00045049335686397484,0.0016152019548757149,0.0027509203017528263
1.6165422420088562,0.0017346867691931146,0.0017598475677276528,0.001209178655367864,0.0009837985814388779,0.0008181294341092878
1.6237268741955622,0.0009953090475486178,0.0017225287146873098,0.0016961245819703255,0.0016614040732740468,0.0016460003335039366
1.6309115063822681,0.0005206301433746742,0.001304830697621052,0.001557490280495516,0.0009072797219608223,0.0010770295820190802
1.6380961385689743,0.00011000431316686836,0.0003293260744507755,0.0003953978037157978,0.0001965560095972617,4.095490266158895e-05
1.6452807707556802,0.0002400934376507853,0.00021358871476650097,0.0003865403821190964,0.00010675513201129639,0.00045814202503221825
1.6524654029423862,0.00026872791124058594,0.0003433506669035721,0.0006251736494946532,0.00031252994009249227,0.0003950200968122312
1.6596500351290924,0.00033560906720229533,0.00021663002598236921,0.0005099995562799465,0.00026854186376646457,0.00017307930894287657
1.6668346673157983,0.0002716048566768034,0.0005267194021715599,0.0003496179189525194,0.0006654596937735139,0.0005029528236084955
1.6740192995025043,0.0002562196909970992,0.0006094885719697229,0.0002417920075609287,3.269001975218709e-05,0.00021120624436974205
1.6812039316892105,0.0001475423403980407,0.0005829027105359213,0.000282938242990066,0.00019259320241636846,0.0004715539960941931
1.6883885638759164,4.4454809664542095e-05,0.0014210511739319504,0.0002533596359543908,0.0008431815412601976,0.0003392854531055843
1.6955731960626224,0.0007956579225538563,0.004155647415641565,3.743249112586583e-05,0.0039179914659232375,0.0009427943136686752
1.7027578282493285,0.001441999284238627,0.006572389526088746,0.000688247699121468,0.005622902252547625,0.0007119148217102283
