Frequency_Hz,experiment,model_scale0p5
1.1064333567527282,0.002110545598690534,0.009932651130234303
1.1136179889394342,0.001748478667032291,0.030616628933680327
1.1208026211261402,0.0016332966308540873,0.030616628933680327
1.1279872533128463,0.0024865218008976804,0.025735501565809848
1.1351718854995525,0.0033152409149901536,0.025735501565809848
1.1423565176862582,0.00549662723832663,0.008731463392756262
1.1495411498729644,0.004522884849330006,0.008731463392756262
1.1567257820596704,0.002281966604033942,0.008731463392756262
1.1639104142463763,0.0025650861548742934,0.0062222910774995255
1.1710950464330825,0.001769839360536529,0.0062222910774995255
1.1782796786197884,0.0011863823546574583,0.006811653657906855
1.1854643108064944,0.001214424152334472,0.006811653657906855
1.1926489429932006,0.0006593277402888112,0.0048439337244384215
1.1998335751799063,0.0011834248091405195,0.0048439337244384215
1.2070182073666125,0.0016265399513764173,0.0048439337244384215
1.2142028395533186,0.0015717162524938688,0.005080944366300276
1.2213874717400246,0.0010124989103593323,0.005080944366300276
1.2285721039267306,0.0017695441641623457,0.007422521942136714
1.2357567361134367,0.0022935603067336854,0.007422521942136714
1.242941368300143,0.0025353112314586827,0.016673459965713396
1.2501260004868486,0.003151409543789311,0.016673459965713396
1.2573106326735548,0.007356341861287225,0.016673459965713396
1.2644952648602608,0.011440709317536085,0.020357938296370084
1.2716798970469667,0.007431758281554589,0.020357938296370084
1.2788645292336729,0.0016782898663691014,0.009646929849115955
1.2860491614203788,0.001780003607402729,0.009646929849115955
1.2932337936070848,0.00168008688106495,0.005169437955220487
1.300418425793791,0.001197132590762124,0.005169437955220487
1.307603057980497,0.002121961461597728,0.005169437955220487
1.3147876901672029,0.0021471121234334246,0.013776860118855391
1.321972322353909,0.0017084106748659893,0.013776860118855391
1.329156954540615,0.002921297871820321,0.013351989379549008
1.336341586727321,0.0023941789801540793,0.013351989379549008
1.3435262189140271,0.007319431789500853,0.009406473268637146
1.350710851100733,0.01225748161414373,0.009406473268637146
1.357895483287439,0.031218498910111088,0.009406473268637146
1.3650801154741452,0.07472087374057255,0.02162245597548741
1.3722647476608512,0.2888585527484947,0.02162245597548741
1.3794493798475571,0.7870122696125373,0.057329796356899096
1.3866340120342633,1.0,0.057329796356899096
1.3938186442209692,0.42859436330546186,0.142813503466421
1.4010032764076754,0.021023425825635322,0.142813503466421
1.4081879085943814,0.0036640917640216233,0.142813503466421
1.415372540781087,0.002759799816415116,0.3226565850574616
1.4225571729677935,0.003438243158764238,0.3226565850574616
1.4297418051544994,0.0012364075421405145,0.7860622532009129
1.4369264373412054,0.0016513382321101543,0.7860622532009129
1.4441110695279116,0.001719198560710601,0.5428115502339618
1.4512957017146175,0.0012959286237152904,0.5428115502339618
1.4584803339013237,0.0012667732554848467,0.08219266660040615
1.4656649660880297,0.002295291582538976,0.08219266660040615
1.4728495982747356,0.0015221903266046822,0.08219266660040615
1.4800342304614416,0.0027965819559241855,0.01409430448040282
1.4872188626481475,0.005418209976268339,0.01409430448040282
1.4944034948348537,0.006101976369181153,0.011077310229948045
1.5015881270215596,0.010815365051635096,0.011077310229948045
1.5087727592082658,0.011587398538807893,0.011323615701024812
1.5159573913949718,0.02126284589220986,0.011323615701024812
1.5231420235816775,0.028040167895318276,0.011323615701024812
1.530326655768384,0.017243521674763302,0.01569879339555461
1.5375112879550898,0.008414759428308917,0.01569879339555461
1.5446959201417958,0.004162163525234802,0.009743174304066219
